promedio_actual,tareas_no_entregadas,reprobaciones_previas,dias_desde_ultima_conexion,minutos_uso_semanal,dias_atraso_pagos,tipo_matricula_beca,nivel_socioeconomico,modalidad_matricula,desercion
9.1,2,1,2,514,10,1,Medio,Ordinaria,0
6.3,13,4,44,37,31,0,Bajo,Ordinaria,0
9.3,1,1,3,999,14,1,Alto,Ordinaria,0
7.0,2,0,2,946,4,1,Bajo,Extraordinaria,0
9.3,0,1,2,505,0,0,Medio,Ordinaria,0
7.4,1,0,1,1029,11,1,Alto,Ordinaria,0
7.5,1,0,4,1091,9,1,Medio,Ordinaria,1
6.9,0,0,0,643,0,0,Bajo,Extraordinaria,0
2.7,12,1,22,11,63,0,Bajo,Ordinaria,1
8.2,1,0,2,1038,4,1,Alto,Extraordinaria,0
8.3,2,0,0,863,12,1,Alto,Ordinaria,0
7.5,0,1,2,542,5,1,Medio,Ordinaria,0
8.1,1,0,1,647,8,0,Bajo,Ordinaria,0
7.1,0,0,2,948,13,0,Bajo,Ordinaria,0
6.8,6,1,26,38,31,0,Bajo,Extraordinaria,1
8.7,1,0,4,1035,0,1,Medio,Ordinaria,0
7.7,2,0,4,1183,1,1,Medio,Ordinaria,0
4.3,11,5,17,19,88,0,Medio,Extraordinaria,1
3.8,12,2,54,0,40,0,Bajo,Extraordinaria,0
4.9,15,1,16,0,77,1,Bajo,Extraordinaria,1
9.3,1,1,0,927,10,1,Alto,Ordinaria,0
9.0,0,0,0,1160,1,0,Medio,Ordinaria,0
7.5,0,1,3,803,7,1,Medio,Ordinaria,0
9.3,2,1,4,862,5,1,Medio,Ordinaria,0
8.1,2,1,2,491,0,0,Alto,Ordinaria,0
9.0,0,0,4,796,13,1,Alto,Extraordinaria,0
8.1,1,0,1,1034,5,1,Medio,Ordinaria,0
9.4,1,0,2,789,1,0,Alto,Ordinaria,0
3.0,7,1,38,12,89,0,Bajo,Extraordinaria,1
6.8,1,1,2,770,14,0,Bajo,Ordinaria,0
6.7,1,1,0,991,9,1,Medio,Ordinaria,0
8.9,0,0,3,1073,12,0,Medio,Ordinaria,0
8.4,2,1,1,645,4,0,Bajo,Ordinaria,0
3.3,15,1,48,95,77,0,Alto,Ordinaria,0
10.0,2,1,1,955,2,1,Bajo,Ordinaria,0
3.3,9,5,26,15,119,0,Medio,Ordinaria,0
8.2,1,1,2,741,0,1,Medio,Ordinaria,0
4.8,9,4,49,32,62,1,Medio,Ordinaria,1
3.0,7,5,49,86,110,0,Bajo,Ordinaria,1
7.6,2,1,1,800,1,1,Alto,Extraordinaria,0
4.8,8,1,49,35,111,0,Bajo,Extraordinaria,1
7.8,2,0,0,1166,8,0,Medio,Ordinaria,0
8.9,2,1,3,1150,9,1,Medio,Ordinaria,0
8.4,0,0,0,338,12,1,Alto,Extraordinaria,0
10.0,2,1,0,373,9,1,Bajo,Ordinaria,0
8.9,1,0,1,493,4,1,Medio,Ordinaria,1
4.4,9,4,20,30,48,0,Bajo,Ordinaria,1
3.7,8,5,27,91,87,0,Medio,Extraordinaria,1
3.2,6,1,47,37,35,1,Alto,Ordinaria,1
1.9,10,3,51,35,48,1,Bajo,Ordinaria,0
9.7,2,0,2,311,9,1,Alto,Ordinaria,0
10.0,1,1,1,615,1,0,Medio,Ordinaria,0
3.0,8,5,20,81,98,0,Bajo,Extraordinaria,0
6.9,2,1,0,673,0,1,Alto,Ordinaria,1
4.4,6,2,55,98,30,0,Bajo,Ordinaria,1
9.7,2,0,4,864,4,1,Medio,Ordinaria,0
7.6,0,0,1,647,14,0,Medio,Ordinaria,0
3.0,6,4,19,93,86,0,Bajo,Ordinaria,1
4.3,7,2,32,29,108,0,Alto,Ordinaria,1
8.5,1,0,1,862,0,1,Bajo,Extraordinaria,0
8.9,0,1,4,425,10,1,Medio,Ordinaria,0
8.5,2,1,3,659,3,0,Alto,Ordinaria,0
8.0,0,1,4,1137,0,1,Medio,Extraordinaria,0
7.7,2,0,1,548,14,1,Bajo,Extraordinaria,0
9.4,0,0,4,991,14,1,Alto,Ordinaria,1
3.1,7,5,40,13,88,0,Medio,Extraordinaria,1
8.4,2,0,0,930,4,0,Medio,Extraordinaria,0
7.5,0,0,4,511,8,1,Alto,Ordinaria,0
10.0,0,1,2,853,8,0,Alto,Ordinaria,0
9.0,1,0,0,588,4,0,Bajo,Ordinaria,0
7.7,2,0,2,542,14,1,Alto,Ordinaria,0
8.0,2,1,0,905,7,1,Alto,Extraordinaria,0
8.1,1,1,3,1086,3,1,Medio,Ordinaria,0
9.0,0,1,2,810,3,0,Medio,Ordinaria,0
7.1,1,1,0,618,4,0,Bajo,Ordinaria,0
8.7,2,0,4,617,11,1,Bajo,Extraordinaria,0
4.1,11,4,43,71,40,0,Bajo,Ordinaria,1
8.3,2,1,1,873,3,0,Medio,Ordinaria,0
8.8,0,0,0,964,0,1,Medio,Ordinaria,0
5.2,8,3,21,50,101,0,Bajo,Extraordinaria,1
9.3,2,0,0,553,3,1,Alto,Extraordinaria,0
9.5,2,0,3,1176,7,1,Medio,Ordinaria,0
9.8,1,0,2,368,3,0,Alto,Ordinaria,0
10.0,1,0,3,517,12,0,Bajo,Ordinaria,0
5.8,15,1,43,77,69,1,Alto,Ordinaria,1
9.2,1,0,0,300,14,0,Medio,Ordinaria,0
9.1,1,0,2,874,3,1,Alto,Ordinaria,0
7.9,0,1,2,1175,10,0,Bajo,Ordinaria,0
9.6,1,1,3,1181,4,1,Alto,Ordinaria,0
